,Mean Reward ($),Mean ROI (%),Sharpe Ratio,Hit Rate (%),Max DD (%)
DQN,-136.88136880000005,-9.00535321052632,-13688136880.000004,0.0,0.0
A2C,0.0,0.0,0.0,0.0,0.0
PPO,-72.56072600000002,-4.773731973684211,-7256062288.515303,0.0,0.0
DDPG,0.0,0.0,0.0,0.0,0.0
Favorite,4.53,2.92258064516129,0.030695188181404216,56.774193548387096,-0.010000000000000009
No Bet,0.0,0.0,0.0,0.0,0.0
Supervised,-2.3999999999999995,-5.333333333333332,-0.04426502258774637,68.88888888888889,-0.23999999999999994
Dyna-Q,-13.499999999999998,-8.88157894736842,-0.06772189201231504,37.5,-1.8569999999999995
