,Total Profit,ROI (%),Sharpe Ratio,Hit Rate (%),Max Drawdown (%)
Always Favorite,-3.709999999999999,-16.86363636363636,-0.17530062704684457,45.45454545454545,-0.509
No Bet,0.0,0.0,0.0,0.0,0.0
Supervised (LR),-0.7500000000000002,-10.714285714285717,-0.07553468815553173,57.14285714285714,-0.109
Dyna-Q,1.8700000000000003,8.500000000000002,0.057392547027119024,40.909090909090914,-0.3
DQN,0.3200000000000001,1.454545454545455,31999999.822364327,0.0,0.0
A2C,1.15,5.227272727272727,114999999.99999999,0.0,0.0
